"index","x","y","expected value"
"390","2.302179","0.744251","0.840091"
"391","2.323851","0.729603","0.839809"
"392","2.415898","0.663655","0.839361"
"393","2.448270","0.639096","0.838852"
"394","2.477216","0.616569","0.838290"
"395","2.526797","0.576792","0.837629"
"396","2.548566","0.558873","0.836927"
"397","2.717068","0.411887","0.835859"
"398","2.819041","0.316987","0.834559"
"399","2.983909","0.157031","0.832865"
"400","2.983909","0.157031","0.831180"
"401","2.902436","0.236883","0.829701"
"402","2.996676","0.144410","0.828001"
"403","2.996676","0.144410","0.826309"
"404","2.971934","0.168846","0.824685"
"405","2.971934","0.168846","0.823070"
"406","2.925697","0.214223","0.821574"
"407","2.736186","0.394392","0.820527"
"408","2.736186","0.394392","0.819485"
"409","2.817448","0.318498","0.818263"
"410","2.817448","0.318498","0.817047"
"411","2.824536","0.311771","0.815821"
"412","2.781930","0.351959","0.814698"
"413","2.897302","0.241868","0.813314"
"414","2.805185","0.330098","0.812150"
"415","2.718335","0.410733","0.811185"
"416","2.805079","0.330199","0.810031"
"417","2.805079","0.330199","0.808884"
"418","2.805079","0.330199","0.807741"
"419","2.805079","0.330199","0.806604"
"420","2.747433","0.384032","0.805600"
"421","2.745389","0.385919","0.804606"
"422","2.657745","0.465189","0.803804"
"423","2.560569","0.548880","0.803202"
"424","2.456290","0.632907","0.802802"
"425","2.370898","0.696634","0.802552"
"426","2.408485","0.669182","0.802240"
"427","2.251428","0.777175","0.802182"
"428","2.465713","0.625584","0.801770"
"429","2.454751","0.634099","0.801380"
"430","2.484998","0.610423","0.800937"
"431","2.514904","0.586466","0.800440"
"432","2.543847","0.562781","0.799892"
"433","2.402512","0.673609","0.799601"
"434","2.418738","0.661528","0.799283"
"435","2.449767","0.637944","0.798913"
"436","2.360437","0.704100","0.798696"
"437","2.156429","0.833363","0.798775"
"438","2.183357","0.818179","0.798820"
"439","2.203956","0.806162","0.798836"
"440","2.341732","0.717259","0.798651"
"441","2.279910","0.758939","0.798561"
"442","2.305962","0.741719","0.798433"
"443","2.302862","0.743795","0.798310"
"444","2.302670","0.743924","0.798188"
"445","2.230309","0.790291","0.798170"
"446","2.336814","0.720677","0.797997"
"447","2.638254","0.482352","0.797292"
"448","2.702012","0.425560","0.796464"
"449","2.728486","0.401457","0.795586"
"450","2.805480","0.329820","0.794553"
"451","2.805480","0.329820","0.793525"
"452","2.855983","0.281743","0.792396"
"453","2.855983","0.281743","0.791271"
"454","2.855983","0.281743","0.790151"
"455","2.782522","0.351404","0.789189"
"456","2.752141","0.379682","0.788293"
"457","2.747716","0.383771","0.787409"
"458","2.747716","0.383771","0.786530"
"459","2.674517","0.450277","0.785799"
"460","2.647914","0.473868","0.785123"
"461","2.725920","0.403805","0.784297"
"462","2.694670","0.432193","0.783537"
"463","2.510895","0.589708","0.783119"
"464","2.510895","0.589708","0.782703"
"465","2.427876","0.654647","0.782428"
"466","2.487058","0.608790","0.782056"
"467","2.400895","0.674803","0.781827"
"468","2.429678","0.653285","0.781553"
"469","2.629754","0.489781","0.780932"
"470","2.582234","0.530643","0.780401"
"471","2.626625","0.492507","0.779791"
"472","2.774982","0.358453","0.778900"
"473","2.974540","0.166277","0.777608"
"474","2.836959","0.299944","0.776602"
"475","2.938867","0.201340","0.775394"
"476","2.927625","0.212339","0.774213"
"477","2.882696","0.256014","0.773129"
"478","2.865119","0.272964","0.772085"
"479","2.818594","0.317411","0.771138"
"480","2.726958","0.402855","0.770372"
"481","2.767482","0.365445","0.769532"
"482","2.707297","0.420772","0.768810"
"483","2.707297","0.420772","0.768091"
"484","2.734231","0.396188","0.767324"
"485","2.766949","0.365941","0.766498"
"486","2.846153","0.291161","0.765522"
"487","2.847748","0.289634","0.764547"
"488","2.920691","0.219110","0.763431"
"489","2.908377","0.231107","0.762345"
"490","2.753288","0.378620","0.761563"
"491","2.813425","0.322309","0.760671"
"492","2.843682","0.293524","0.759723"
"493","2.748259","0.383269","0.758961"
"494","2.767884","0.365071","0.758165"
"495","2.684660","0.441198","0.757526"
"496","2.732518","0.397761","0.756802"
"497","2.629505","0.489998","0.756267"
"498","2.503332","0.595799","0.755945"
"499","2.697692","0.429465","0.755292"
"500","2.785403","0.348706","0.754481"
"501","2.838427","0.298543","0.753572"
"502","2.844437","0.292802","0.752656"
"503","3.039909","0.101508","0.751364"
"504","2.957615","0.182942","0.750239"
"505","2.917736","0.221992","0.749195"
"506","2.904132","0.235235","0.748181"
"507","3.023266","0.118051","0.746941"
"508","3.023266","0.118051","0.745705"
"509","2.984855","0.156097","0.744549"
"510","3.001413","0.139721","0.743365"
"511","2.939170","0.201043","0.742306"
"512","2.916788","0.222916","0.741294"
"513","2.919860","0.219920","0.740279"
"514","2.934932","0.205193","0.739240"
"515","2.934932","0.205193","0.738205"
"516","2.996456","0.144627","0.737057"
"517","2.825132","0.311205","0.736235"
"518","2.825132","0.311205","0.735416"
"519","2.825132","0.311205","0.734600"
"520","2.825132","0.311205","0.733788"
"521","2.719241","0.409906","0.733167"
"522","2.710720","0.417664","0.732564"
"523","2.473806","0.619250","0.732348"
"524","2.414753","0.664511","0.732219"
"525","2.414753","0.664511","0.732090"
"526","2.385538","0.686056","0.732002"
"527","2.232766","0.788783","0.732110"
"528","2.187003","0.816077","0.732269"
"529","2.127933","0.848773","0.732489"
"530","2.150778","0.836473","0.732684"
"531","2.216008","0.798972","0.732809"
"532","2.226224","0.792787","0.732922"
"533","2.136712","0.844098","0.733130"
"534","2.113223","0.856458","0.733360"
"535","2.087281","0.869561","0.733614"
"536","2.218541","0.797447","0.733733"
"537","2.197135","0.810179","0.733875"
"538","2.242379","0.782838","0.733966"
"539","2.295970","0.748384","0.733993"
"540","2.331217","0.724546","0.733975"
